chi2_kahan_long, chi2_std, chi2_std_long, chi2_kahan, chi2_kahan_avx
116644.2255969837222124851905391551554203, 116644.2255969836551230400800704956054688, 116644.22559698372226932860939996317029, 116644.2255969837278826162219047546386719, 116644.2255969837133307009935379028320312
116644.3597376789228405868925619870424271, 116644.359737679245881736278533935546875, 116644.3597376789227979543284163810312748, 116644.3597376789257396012544631958007812, 116644.3597376789257396012544631958007812
116644.2957906512706358626019209623336792, 116644.295790650998242199420928955078125, 116644.2957906512707069168754969723522663, 116644.2957906512747285887598991394042969, 116644.2957906512747285887598991394042969
116644.6442584765113892331100942101329565, 116644.6442584761971374973654747009277344, 116644.6442584765112258082808693870902061, 116644.6442584765172796323895454406738281, 116644.6442584765172796323895454406738281
116644.0048017741993433560310222674161196, 116644.0048017744993558153510093688964844, 116644.0048017741993717777404526714235544, 116644.0048017741937655955553054809570312, 116644.0048017742083175107836723327636719
116644.3279908095896288955373165663331747, 116644.3279908093827543780207633972167969, 116644.3279908095896075792552437633275986, 116644.3279908095864811912178993225097656, 116644.3279908095864811912178993225097656
116644.3276029449409492144695832394063473, 116644.3276029446715256199240684509277344, 116644.3276029449410131633158016484230757, 116644.3276029449480120092630386352539062, 116644.3276029449480120092630386352539062
116644.3297402282395793804425920825451612, 116644.3297402283351402729749679565429688, 116644.3297402282394727990322280675172806, 116644.3297402282332768663763999938964844, 116644.329740228247828781604766845703125
116644.3258623649444558623144985176622868, 116644.3258623648725915700197219848632812, 116644.3258623649445269165880745276808739, 116644.3258623649453511461615562438964844, 116644.3258623649453511461615562438964844
116644.3330020654542593661062710452824831, 116644.3330020658759167417883872985839844, 116644.3330020654542522606789134442806244, 116644.3330020654539112001657485961914062, 116644.3330020654539112001657485961914062
116644.3224223898852827119299035985022783, 116644.3224223899596836417913436889648438, 116644.3224223898852329739384003914892673, 116644.3224223898869240656495094299316406, 116644.3224223898869240656495094299316406
116644.3722111517496671240223804488778114, 116644.3722111518873134627938270568847656, 116644.3722111517495392263299436308443546, 116644.372211151756346225738525390625, 116644.372211151756346225738525390625
116644.2664651678552161229163175448775291, 116644.2664651679224334657192230224609375, 116644.2664651678551166469333111308515072, 116644.2664651678496738895773887634277344, 116644.266465167864225804805755615234375
116644.3280379429887432252144208177924156, 116644.3280379427160369232296943664550781, 116644.3280379429888427011974272318184376, 116644.32803794299252331256866455078125, 116644.32803794299252331256866455078125
116644.3275534982991601395951875019818544, 116644.3275534982385579496622085571289062, 116644.3275534982991601395951875019818544, 116644.3275534982967656105756759643554688, 116644.3275534982967656105756759643554688
116644.3301105958834824605219182558357716, 116644.3301105960999848321080207824707031, 116644.3301105958835108822313486598432064, 116644.3301105958817061036825180053710938, 116644.3301105958817061036825180053710938
116644.3252714722002494340813427697867155, 116644.3252714720729272812604904174804688, 116644.325271472200483913184143602848053, 116644.3252714722038945183157920837402344, 116644.3252714721893426030874252319335938
